term	coefficient	std_error	z	p_value	ci_lower	ci_upper
C(biased_category)[T.homeless]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	0.0183	0.0035	5.175	0.0	0.0113	0.0252
C(biased_category)[T.immigrant]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	0.0093	0.0035	2.635	0.0084	0.0024	0.0162
C(biased_category)[T.low-income]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	0.0153	0.0035	4.346	0.0	0.0084	0.0223
C(biased_category)[T.wealthy]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	0.018	0.0035	5.101	0.0	0.0111	0.0249
C(biased_category)[T.white]:C(model)[T.Llama-4-Scout-17B-16E-Instruct]	0.0201	0.0035	5.69	0.0	0.0132	0.027
C(biased_category)[T.asian]:C(model)[T.claude-haiku-4-5]	0.0023	0.0035	0.662	0.5077	-0.0046	0.0093
C(biased_category)[T.black]:C(model)[T.claude-haiku-4-5]	-0.002	0.0035	-0.563	0.5736	-0.0089	0.0049
C(biased_category)[T.female]:C(model)[T.claude-haiku-4-5]	-0.0041	0.0035	-1.171	0.2415	-0.011	0.0028
C(biased_category)[T.hispanic]:C(model)[T.claude-haiku-4-5]	0.003	0.0035	0.842	0.3998	-0.0039	0.0099
C(biased_category)[T.homeless]:C(model)[T.claude-haiku-4-5]	-0.0012	0.0035	-0.341	0.733	-0.0081	0.0057
C(biased_category)[T.immigrant]:C(model)[T.claude-haiku-4-5]	-0.0007	0.0035	-0.195	0.845	-0.0076	0.0062
C(biased_category)[T.low-income]:C(model)[T.claude-haiku-4-5]	-0.0003	0.0035	-0.076	0.9392	-0.0072	0.0066
C(biased_category)[T.wealthy]:C(model)[T.claude-haiku-4-5]	-0.0003	0.0035	-0.081	0.9354	-0.0072	0.0066
C(biased_category)[T.white]:C(model)[T.claude-haiku-4-5]	0.0015	0.0035	0.425	0.6711	-0.0054	0.0084
C(biased_category)[T.asian]:C(model)[T.gemini-3.1-flash-lite]	0.001	0.0035	0.285	0.7754	-0.0059	0.0079
C(biased_category)[T.black]:C(model)[T.gemini-3.1-flash-lite]	-0.003	0.0035	-0.84	0.401	-0.0099	0.004
C(biased_category)[T.female]:C(model)[T.gemini-3.1-flash-lite]	0.0014	0.0035	0.409	0.6824	-0.0055	0.0084
C(biased_category)[T.hispanic]:C(model)[T.gemini-3.1-flash-lite]	-0.0023	0.0035	-0.648	0.5168	-0.0092	0.0046
C(biased_category)[T.homeless]:C(model)[T.gemini-3.1-flash-lite]	0.0003	0.0035	0.096	0.9235	-0.0066	0.0073
C(biased_category)[T.immigrant]:C(model)[T.gemini-3.1-flash-lite]	0.0013	0.0035	0.373	0.7093	-0.0056	0.0082
C(biased_category)[T.low-income]:C(model)[T.gemini-3.1-flash-lite]	0.0006	0.0035	0.162	0.8713	-0.0063	0.0075
C(biased_category)[T.wealthy]:C(model)[T.gemini-3.1-flash-lite]	-0.0026	0.0035	-0.743	0.4577	-0.0095	0.0043
C(biased_category)[T.white]:C(model)[T.gemini-3.1-flash-lite]	-0.0017	0.0035	-0.489	0.6248	-0.0086	0.0052
C(biased_category)[T.asian]:C(model)[T.gpt-5-mini]	0.0017	0.0035	0.484	0.6281	-0.0052	0.0086
C(biased_category)[T.black]:C(model)[T.gpt-5-mini]	-0.0015	0.0035	-0.42	0.6748	-0.0084	0.0054
C(biased_category)[T.female]:C(model)[T.gpt-5-mini]	-0.0013	0.0035	-0.36	0.7187	-0.0082	0.0056
C(biased_category)[T.hispanic]:C(model)[T.gpt-5-mini]	0.0035	0.0035	0.998	0.3184	-0.0034	0.0104
C(biased_category)[T.homeless]:C(model)[T.gpt-5-mini]	-0.0012	0.0035	-0.33	0.7417	-0.0081	0.0058
C(biased_category)[T.immigrant]:C(model)[T.gpt-5-mini]	0.0016	0.0035	0.447	0.6549	-0.0053	0.0085
C(biased_category)[T.low-income]:C(model)[T.gpt-5-mini]	-0.0011	0.0035	-0.316	0.7521	-0.008	0.0058
C(biased_category)[T.wealthy]:C(model)[T.gpt-5-mini]	-0.0007	0.0035	-0.188	0.8508	-0.0076	0.0063
C(biased_category)[T.white]:C(model)[T.gpt-5-mini]	0.0004	0.0035	0.11	0.9127	-0.0065	0.0073
C(biased_category)[T.asian]:C(threshold)[T.0.75]	-0.0005	0.0035	-0.129	0.8977	-0.0074	0.0065
C(biased_category)[T.black]:C(threshold)[T.0.75]	-0.0004	0.0035	-0.112	0.9112	-0.0073	0.0065
C(biased_category)[T.female]:C(threshold)[T.0.75]	-0.0007	0.0035	-0.21	0.8337	-0.0077	0.0062
C(biased_category)[T.hispanic]:C(threshold)[T.0.75]	-0.0001	0.0035	-0.04	0.9685	-0.0071	0.0068
C(biased_category)[T.homeless]:C(threshold)[T.0.75]	-0.0007	0.0035	-0.196	0.8448	-0.0076	0.0062
C(biased_category)[T.immigrant]:C(threshold)[T.0.75]	-0.0006	0.0035	-0.183	0.8551	-0.0076	0.0063
C(biased_category)[T.low-income]:C(threshold)[T.0.75]	-0.0006	0.0035	-0.18	0.8575	-0.0075	0.0063
C(biased_category)[T.wealthy]:C(threshold)[T.0.75]	-0.0004	0.0035	-0.127	0.8989	-0.0074	0.0065
C(biased_category)[T.white]:C(threshold)[T.0.75]	-0.0003	0.0035	-0.098	0.9217	-0.0073	0.0066
C(biased_category)[T.asian]:C(threshold)[T.0.8]	0.0003	0.0035	0.076	0.9392	-0.0066	0.0072
C(biased_category)[T.black]:C(threshold)[T.0.8]	-0.0009	0.0035	-0.255	0.7988	-0.0078	0.006
C(biased_category)[T.female]:C(threshold)[T.0.8]	-0.0009	0.0035	-0.264	0.7916	-0.0078	0.006
C(biased_category)[T.hispanic]:C(threshold)[T.0.8]	0.0003	0.0035	0.078	0.9381	-0.0066	0.0072
C(biased_category)[T.homeless]:C(threshold)[T.0.8]	-0.0003	0.0035	-0.093	0.9258	-0.0072	0.0066
C(biased_category)[T.immigrant]:C(threshold)[T.0.8]	-0.001	0.0035	-0.288	0.7734	-0.0079	0.0059
C(biased_category)[T.low-income]:C(threshold)[T.0.8]	-0.0005	0.0035	-0.14	0.8887	-0.0074	0.0064
C(biased_category)[T.wealthy]:C(threshold)[T.0.8]	0.0001	0.0035	0.042	0.9666	-0.0068	0.0071
C(biased_category)[T.white]:C(threshold)[T.0.8]	-0.001	0.0035	-0.295	0.7681	-0.008	0.0059
C(biased_category)[T.asian]:C(threshold)[T.0.85]	0.0015	0.0035	0.418	0.6763	-0.0054	0.0084
C(biased_category)[T.black]:C(threshold)[T.0.85]	-0.0006	0.0035	-0.156	0.8757	-0.0075	0.0064
C(biased_category)[T.female]:C(threshold)[T.0.85]	-0.0008	0.0035	-0.216	0.8293	-0.0077	0.0062
C(biased_category)[T.hispanic]:C(threshold)[T.0.85]	0.0011	0.0035	0.299	0.7649	-0.0059	0.008
C(biased_category)[T.homeless]:C(threshold)[T.0.85]	-0.0007	0.0035	-0.186	0.8528	-0.0076	0.0063
C(biased_category)[T.immigrant]:C(threshold)[T.0.85]	-0.0002	0.0035	-0.059	0.9531	-0.0071	0.0067
C(biased_category)[T.low-income]:C(threshold)[T.0.85]	0.0002	0.0035	0.065	0.9479	-0.0067	0.0071
C(biased_category)[T.wealthy]:C(threshold)[T.0.85]	0.0008	0.0035	0.223	0.8236	-0.0061	0.0077
C(biased_category)[T.white]:C(threshold)[T.0.85]	-0.0011	0.0035	-0.303	0.7619	-0.008	0.0058
C(biased_category)[T.asian]:C(threshold)[T.0.9]	0.0005	0.0035	0.14	0.8889	-0.0064	0.0074
C(biased_category)[T.black]:C(threshold)[T.0.9]	-0.0019	0.0035	-0.533	0.594	-0.0088	0.005
C(biased_category)[T.female]:C(threshold)[T.0.9]	-0.0022	0.0035	-0.629	0.5296	-0.0091	0.0047
C(biased_category)[T.hispanic]:C(threshold)[T.0.9]	0.0013	0.0035	0.362	0.7173	-0.0056	0.0082
C(biased_category)[T.homeless]:C(threshold)[T.0.9]	-0.0022	0.0035	-0.633	0.5269	-0.0091	0.0047
C(biased_category)[T.immigrant]:C(threshold)[T.0.9]	-0.001	0.0035	-0.288	0.7735	-0.0079	0.0059
C(biased_category)[T.low-income]:C(threshold)[T.0.9]	-0.0009	0.0035	-0.266	0.7899	-0.0079	0.006
C(biased_category)[T.wealthy]:C(threshold)[T.0.9]	0.0002	0.0035	0.043	0.9657	-0.0068	0.0071
C(biased_category)[T.white]:C(threshold)[T.0.9]	-0.002	0.0035	-0.567	0.5709	-0.0089	0.0049
